unique_id,ds,y,feature_2,feature_3,feature_4,feature_5,feature_6
007d4a1214289aea09b9759ae1324e96_d3d9446802a44259755d38e6d163e820,2016/1/1,1.12,007d4a1214289aea09b9759ae1324e96,d3d9446802a44259755d38e6d163e820,e0b6a143ffa58a10dad204db33440d1c,7fc56270e7a70fa81a5935b72eacbe29,6e5a24d315dfd580a31d1ce3c36dc709
007d4a1214289aea09b9759ae1324e96_d3d9446802a44259755d38e6d163e820,2016/2/1,0.2,007d4a1214289aea09b9759ae1324e96,d3d9446802a44259755d38e6d163e820,e0b6a143ffa58a10dad204db33440d1c,7fc56270e7a70fa81a5935b72eacbe29,6e5a24d315dfd580a31d1ce3c36dc709
007d4a1214289aea09b9759ae1324e96_d3d9446802a44259755d38e6d163e820,2016/3/1,0.08,007d4a1214289aea09b9759ae1324e96,d3d9446802a44259755d38e6d163e820,e0b6a143ffa58a10dad204db33440d1c,7fc56270e7a70fa81a5935b72eacbe29,6e5a24d315dfd580a31d1ce3c36dc709
007d4a1214289aea09b9759ae1324e96_d3d9446802a44259755d38e6d163e820,2016/4/1,0.61,007d4a1214289aea09b9759ae1324e96,d3d9446802a44259755d38e6d163e820,e0b6a143ffa58a10dad204db33440d1c,7fc56270e7a70fa81a5935b72eacbe29,6e5a24d315dfd580a31d1ce3c36dc709
007d4a1214289aea09b9759ae1324e96_d3d9446802a44259755d38e6d163e820,2016/5/1,0.7,007d4a1214289aea09b9759ae1324e96,d3d9446802a44259755d38e6d163e820,e0b6a143ffa58a10dad204db33440d1c,7fc56270e7a70fa81a5935b72eacbe29,6e5a24d315dfd580a31d1ce3c36dc709
007d4a1214289aea09b9759ae1324e96_d3d9446802a44259755d38e6d163e820,2016/6/1,2.3,007d4a1214289aea09b9759ae1324e96,d3d9446802a44259755d38e6d163e820,e0b6a143ffa58a10dad204db33440d1c,7fc56270e7a70fa81a5935b72eacbe29,6e5a24d315dfd580a31d1ce3c36dc709
007d4a1214289aea09b9759ae1324e96_d3d9446802a44259755d38e6d163e820,2016/7/1,0.2,007d4a1214289aea09b9759ae1324e96,d3d9446802a44259755d38e6d163e820,e0b6a143ffa58a10dad204db33440d1c,7fc56270e7a70fa81a5935b72eacbe29,6e5a24d315dfd580a31d1ce3c36dc709
007d4a1214289aea09b9759ae1324e96_d3d9446802a44259755d38e6d163e820,2016/8/1,0.6,007d4a1214289aea09b9759ae1324e96,d3d9446802a44259755d38e6d163e820,e0b6a143ffa58a10dad204db33440d1c,7fc56270e7a70fa81a5935b72eacbe29,6e5a24d315dfd580a31d1ce3c36dc709
007d4a1214289aea09b9759ae1324e96_d3d9446802a44259755d38e6d163e820,2016/9/1,2.165,007d4a1214289aea09b9759ae1324e96,d3d9446802a44259755d38e6d163e820,e0b6a143ffa58a10dad204db33440d1c,7fc56270e7a70fa81a5935b72eacbe29,6e5a24d315dfd580a31d1ce3c36dc709
007d4a1214289aea09b9759ae1324e96_d3d9446802a44259755d38e6d163e820,2016/10/1,0.56,007d4a1214289aea09b9759ae1324e96,d3d9446802a44259755d38e6d163e820,e0b6a143ffa58a10dad204db33440d1c,7fc56270e7a70fa81a5935b72eacbe29,6e5a24d315dfd580a31d1ce3c36dc709
